==========================================================================================
  HUAWEI FIRMWARE ROOTFS BINARY LIST
  Source: https://github.com/Uaemextop/realfirmware-net
  Extracted from: HG8145V5, HG8245Q, HG8247H5, HG8247H
==========================================================================================

Binary Name                    Path                            Size  Models  MD5
delgroup                       /bin/delgroup              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
deluser                        /bin/deluser               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
df                             /bin/df                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
diff                           /bin/diff                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dirname                        /bin/dirname               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dmesg                          /bin/dmesg                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dms                            /bin/dms                      87,664      4  80812c5e576a0e9a4c166712a170fd57
dnsdomainname                  /bin/dnsdomainname         2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dot1x                          /bin/dot1x                   265,012      1  c1c832d8f3c4523416b228a23eae1aed
dropbear                       /bin/dropbear                251,616      4  47d91fda3255c972284df6aeef9adcaf
dropbearkey                    /bin/dropbearkey             136,552      4  c31318653cde43882ee4ce39d3c8285c
eapd                           /bin/eapd                     84,168      2  217080db94c2144881d9313f9f158d2d
easymesh                       /bin/easymesh                  5,404      1  3181b2ef0b18c79d2e54991cfe8f4c3e
echo                           /bin/echo                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
egrep                          /bin/egrep                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
eject                          /bin/eject                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
em_dut                         /bin/em_dut                   17,816      1  31be6cc6531082aabc2bb2c23c1d7688
emagent                        /bin/emagent                   5,404      1  a6693d5089a2279c72a61bcf36d404f7
emdi                           /bin/emdi                      9,556      1  683589fbb795c532b8899789755bc861
ethoam                         /bin/ethoam                   50,604      4  74dc142ef18385c037ed093af4643522
expr                           /bin/expr                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ez-ipupdate                    /bin/ez-ipupdate              95,952      3  5f2c429f5935bf125d10ae23760384e4
false                          /bin/false                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
fgconsole                      /bin/fgconsole             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
fgrep                          /bin/fgrep                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
find                           /bin/find                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
fon                            /bin/fon                       9,500      4  e738541e3a3981b297aaf1e057bc0461
free                           /bin/free                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ftpget                         /bin/ftpget                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ftpput                         /bin/ftpput                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
fuser                          /bin/fuser                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
getcap                         /bin/getcap                    9,392      2  1286a97626677d72f80548af80cef433
getfilecrc                     /bin/getfilecrc                9,392      1  3aeb7302ed22f222cc6b70093d02c70c
getlanmac                      /bin/getlanmac                 9,500      4  61c56f456fa4a58d815cc2321e20ab5a
getopt                         /bin/getopt                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
grep                           /bin/grep                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
gunzip                         /bin/gunzip                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
gzip                           /bin/gzip                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
head                           /bin/head                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
hexdump                        /bin/hexdump               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
hostapd                        /bin/hostapd                 961,532      1  b5124ee9818dc3fd7b5fad9262700349
hostapd_cli                    /bin/hostapd_cli              42,248      1  5f727dcbc2413a19df32aa966f259237
hostname                       /bin/hostname              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
hotspotcmd                     /bin/hotspotcmd               10,108      4  c878072b42e19f9978784486d1199f7c
hotspotd                       /bin/hotspotd                119,792      3  d5ff22aed84b7d983536d3497b27f118
httpc                          /bin/httpc                    29,980      4  23d18be90589021c0c97d3cf0394607d
hw_ldsp_cfg                    /bin/hw_ldsp_cfg              17,712      4  960450cb8304ec58d56e33028454dc98
hw_ldsp_wifi_cmd               /bin/hw_ldsp_wifi_cmd          5,404      4  f63add32665746ed7bbb889047ce2cbb
hw_ldsp_xpon_adpt              /bin/hw_ldsp_xpon_adpt        13,656      3  583a83b947432598c7daa36c4faf0573
hw_qoe_getloid                 /bin/hw_qoe_getloid            5,456      3  8c480939efca79e282f24ab855decbbf
hw_qoe_getpppaccount           /bin/hw_qoe_getpppaccount      9,500      2  5dc3e785cfa8ffb30b423c7ed6ebe3a6
iaccess                        /bin/iaccess                  82,016      2  b8f75155b4b010b0575696f01d48f8c9
id                             /bin/id                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
igmp                           /bin/igmp                      9,532      4  2fa4a79b4a71587d6f903ecb5929cb88
ip                             /bin/ip                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ipaddr                         /bin/ipaddr                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ipcrm                          /bin/ipcrm                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ipcs                           /bin/ipcs                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
iperf3                         /bin/iperf3                  116,988      1  dbcf2109a28008566e7500fb914e788e
iplink                         /bin/iplink                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
iproute                        /bin/iproute               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
iprule                         /bin/iprule                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
iptables-xml                   /bin/iptables-xml             95,176      1  82f7486afd1093c0b753407ed1934e14
iptunnel                       /bin/iptunnel              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
iv                             /bin/iv                      526,800      1  6bea52161982c6a5c09dac7d67fe7652
iwconfig                       /bin/iwconfig                 34,576      4  76be98ac0753ab8c15a6918317caa9ec
iwcontrol                      /bin/iwcontrol                30,496      1  0666018bbc81dc667b0ee0666f9e90b0
iwpriv                         /bin/iwpriv                   10,168      3  db6a09bd2eeba5907561211f2806ea28
keyfilemng                     /bin/keyfilemng               21,936      1  1e0526c3625ccab92eb0d4f585e66675
kill                           /bin/kill                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
killall                        /bin/killall               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
killall5                       /bin/killall5              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
kmc                            /bin/kmc                      34,180      1  a5f225019ee245e1168731a0352da346
kmc_tool                       /bin/kmc_tool                  9,500      1  8ae6e1a3bc7e4f6a19d3a3819714a061
kmsgread                       /bin/kmsgread                  5,404      4  61acbf2b56dd234a8d51b436970bc651
lbd                            /bin/lbd                      25,896      1  ebf7edfe713e41a3a8d146caec9d11a8
ldsp_xpon_auto                 /bin/ldsp_xpon_auto           17,696      1  bd93dcc5c09bf2bd453b90537eeba245
ldspcli                        /bin/ldspcli                  51,192      4  4bcd9f9ea562f7f3f5d06c81a7e0fbab
ln                             /bin/ln                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
loadexfs                       /bin/loadexfs                 21,788      1  dce8da244c3e52601b7e69cb2333f960
loadsdkfs                      /bin/loadsdkfs                27,964      1  7262bd092aa5fdd80e09d23086e1dbfb
logger                         /bin/logger                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
login                          /bin/login                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ls                             /bin/ls                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
lsap                           /bin/lsap                     17,820      3  becf30c87816873871d9d6ec5b7f6ced
lsusb                          /bin/lsusb                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
lsvd                           /bin/lsvd                     30,028      1  f690f173c1271207d19247cf32dc032b
lzop                           /bin/lzop                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
lzopcat                        /bin/lzopcat               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
maintain                       /bin/maintain                  5,404      4  6bad340716375ed6a952ea698787b28f
md                             /bin/md                        5,412      3  a5286f412aa3fe2f6890487bda74c1dd
md5sum                         /bin/md5sum                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mid                            /bin/mid                       9,500      4  8e87e147d85e7ae37bb34d77413daa24
miniupnpd                      /bin/miniupnpd               158,044      2  60959a2e197dfed89f93d48e468bd2ba
mkdir                          /bin/mkdir                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mkfs.vfat                      /bin/mkfs.vfat             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mknod                          /bin/mknod                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mktemp                         /bin/mktemp                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
more                           /bin/more                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mount                          /bin/mount                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mtools                         /bin/mtools                  207,192      1  6ecbe24c5aaa0578656473c6ac9221bc
mu                             /bin/mu                       50,508      4  836b3d12c9fd8001eb38dd26a30cc6dc
mv                             /bin/mv                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mw                             /bin/mw                        5,416      3  6ce839965c1e746f2cedca536ad04b69
nas                            /bin/nas                     239,760      2  a270c44b7ee84a99821c75734850094c
netstat                        /bin/netstat               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
nmbd                           /bin/nmbd                    524,584      4  752fc2ee30cb8d33d1c4d3ca29e9ee25
ntfs-3g                        /bin/ntfs-3g                 112,168      4  6e4c66db18b217672f3f1a9193932401
ntfslabel                      /bin/ntfslabel                28,572      3  52e8ca3816c207570c45e1d353bf8993
nvram                          /bin/nvram                     7,896      2  fb93f5bc5279fff1e55d60d48d0f4e55
oam                            /bin/oam                     248,340      4  b52c19353bc449721f45a43cff5c180c
omci                           /bin/omci                    579,680      4  0eb79560e5470e1810de4f0aaf66d0ab
omcicmd                        /bin/omcicmd                   9,500      4  96211aef816523a8bdb181b9c1be2eed
ontinfo                        /bin/ontinfo                   9,500      4  1bcb75531686552b263f2838a8611493
passwd                         /bin/passwd                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
pccwmaccheck                   /bin/pccwmaccheck             13,596      4  2962be8fb20c2213235c34846d7ed9dd
