==========================================================================================
  HUAWEI FIRMWARE ROOTFS BINARY LIST
  Source: https://github.com/Uaemextop/realfirmware-net
  Extracted from: HG8145V5, HG8245Q, HG8247H5, HG8247H
==========================================================================================

Binary Name                    Path                            Size  Models  MD5
halt                           /sbin/halt                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
hwclock                        /sbin/hwclock              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ifconfig                       /sbin/ifconfig             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
init                           /sbin/init                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
insmod                         /sbin/insmod               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ip6tables                      /sbin/ip6tables              714,024      4  1b8acdec8f7df271ee676355634f9d58
ip6tables-restore              /sbin/ip6tables-restore      714,024      4  1b8acdec8f7df271ee676355634f9d58
ip6tables-save                 /sbin/ip6tables-save         714,024      4  1b8acdec8f7df271ee676355634f9d58
iptables                       /sbin/iptables               714,024      4  1b8acdec8f7df271ee676355634f9d58
iptables-restore               /sbin/iptables-restore       714,024      4  1b8acdec8f7df271ee676355634f9d58
iptables-save                  /sbin/iptables-save          714,024      4  1b8acdec8f7df271ee676355634f9d58
klogd                          /sbin/klogd                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
logread                        /sbin/logread              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
lsmod                          /sbin/lsmod                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mdev                           /sbin/mdev                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
mkswap                         /sbin/mkswap               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
modinfo                        /sbin/modinfo              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
modprobe                       /sbin/modprobe             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ntpd                           /sbin/ntpd                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
ontmodown                      /sbin/ontmodown               17,692      1  2aeb24e8b49155714e6ce8a3fe3bae45
pivot_root                     /sbin/pivot_root           2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
poweroff                       /sbin/poweroff             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
rmmod                          /sbin/rmmod                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
route                          /sbin/route                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
runlevel                       /sbin/runlevel             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
setconsole                     /sbin/setconsole           2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
slattach                       /sbin/slattach             2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
start-stop-daemon              /sbin/start-stop-daemon    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
swapoff                        /sbin/swapoff              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
swapon                         /sbin/swapon               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
switch_root                    /sbin/switch_root          2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
sysctl                         /sbin/sysctl               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
syslogd                        /sbin/syslogd              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
udhcpc                         /sbin/udhcpc               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
vconfig                        /sbin/vconfig              2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
xtables-legacy-multi           /sbin/xtables-legacy-multi    714,024      1  1b8acdec8f7df271ee676355634f9d58
xtables-multi                  /sbin/xtables-multi           79,060      3  8edfeab6b00bebe70ec18b9a3ffb06e2
dhcp6c                         /usr/bin/dhcp6c              305,504      4  706b44341430951ff6a9548435852ec5
dhcp6s                         /usr/bin/dhcp6s              260,064      4  6764ea3c4d68b5ea3009baf8a8c1d52e
dhcpc                          /usr/bin/dhcpc               121,124      4  f6d27670564621f8b694038db5cb490d
dhcpd                          /usr/bin/dhcpd               174,532      4  51ecd5951ac7ae2307f81d1c39669aa5
lxc-attach                     /usr/bin/lxc-attach           22,272      1  03a7f2f2025e139406a8fd8b4b64f5ce
lxc-console                    /usr/bin/lxc-console          14,032      1  d74d309e4c7801578498c85e72b05481
lxc-create                     /usr/bin/lxc-create           30,832      1  ae2bf9d51ce0afb73d888a3509d6c9f7
lxc-destroy                    /usr/bin/lxc-destroy          18,224      1  6d0fd4b86da6a23a7f10dca3ede89f9c
lxc-execute                    /usr/bin/lxc-execute          14,048      1  105c3bdc65288426df6317cbc1106f67
lxc-info                       /usr/bin/lxc-info             18,072      1  794450186d230b76941f6612e0a9b094
lxc-ls                         /usr/bin/lxc-ls               26,272      1  b52882b94e6c29617d24c5985da90c93
lxc-start                      /usr/bin/lxc-start            18,264      1  1a294032896528d6f434e0f0d85e1490
lxc-stop                       /usr/bin/lxc-stop             14,096      1  80b726cea3915562cfcbd204213c98fc
pppd                           /usr/bin/pppd                346,064      4  af917eb883cec36bc7bd7f1705ae3680
radvd                          /usr/bin/radvd               100,528      4  9293e2225731176c6b0c88a8635ad531
radvdump                       /usr/bin/radvdump             21,192      3  c70b8689945f0137a398d6dc05da0f14
ripd                           /usr/bin/ripd                172,664      4  6985150112ec3dd4c4519d79c195509b
zebra                          /usr/bin/zebra               445,884      4  960a541185d0211093cb51eb87ef25a3
zsp_min.out                    /usr/bin/zsp_min.out         332,064      4  04afe801fd50c0a26a186b0dcf9105ed
init.lxc                       /usr/sbin/init.lxc            34,380      1  5a46f813c43eda96c485cacd12f8b907

Total unique binaries: 361
Config/management tools: cfgtool, cfgtoolc, cfgtools, cfgreserve, shellconfig, kmc, kmc_tool
Network tools: dhcpc, dhcpd, dhcp6c, dhcp6s, pppd, dnsmasq, sntp, igmp
Security tools: aescrypt2, dropbear, dropbearkey, hostapd, wpa_supplicant, audit
Diagnostic tools: speeddiag, iperf3, arping_ex, ldspcli, oam, omci
Web/Management: web, cwmp, upnpd, bftpd, psftp, sftp-server, clid
WiFi tools: wifi, wificli, wifitool, wlanconfig, hostapd, wpa_supplicant, iwconfig
