arch     arm
baddr    0x0
binsz    750927
bintype  elf
bits     32
canary   false
class    ELF32
crypto   false
endian   little
havecode true
laddr    0x0
lang     c
linenum  false
lsyms    false
machine  ARM
nx       true
os       linux
pic      true
relocs   false
relro    partial
rpath    NONE
sanitize false
static   false
stripped true
subsys   linux
va       true
[Exports]

nth  paddr      vaddr      bind   type   size lib name
――――――――――――――――――――――――――――――――――――――――――――――――――――――
76   0x00060ebc 0x00060ebc GLOBAL FUNC   140      HW_MSG_ReplaceRevApp
77   0x000303f8 0x000303f8 GLOBAL FUNC   8        HW_OS_CHashFree
78   0x0008cd00 0x0008cd00 GLOBAL FUNC   344      KMC_PRI_WriteHashEnd
79   0x000331a4 0x000331a4 GLOBAL FUNC   8        HW_OS_ListLock
80   0x0002d890 0x0002d890 GLOBAL FUNC   740      HW_OS_SetSystemTime
82   0x00063b10 0x00063b10 GLOBAL FUNC   180      ArrayListIterator_Init
83   0x00060524 0x00060524 GLOBAL FUNC   468      HW_MSG_TryToStartTargetProcess
84   0x00042658 0x00042658 GLOBAL FUNC   156      HW_PROC_DBG_GetLogSaveFlag
85   ---------- 0x000c1c7c GLOBAL OBJ    8        g_stLogPsiCacheList
86   0x0005d1f8 0x0005d1f8 GLOBAL FUNC   188      HW_MSG_ClearMidInfo
87   0x0008404c 0x0008404c GLOBAL FUNC   32       memcpy_8b
88   0x0007061c 0x0007061c GLOBAL FUNC   156      HW_XML_DBGetInstNumByPath
89   0x0004451c 0x0004451c GLOBAL FUNC   168      HW_SSP_Trace_SendExitMsg
90   0x00060388 0x00060388 GLOBAL FUNC   412      HW_SSP_Dia_EndFuncTiming
91   0x0004d3b8 0x0004d3b8 GLOBAL FUNC   184      TPWaitJob
92   0x0008c854 0x0008c854 GLOBAL FUNC   64       KMC_PRI_FreeKsfSnapshot
94   0x00040fb8 0x00040fb8 GLOBAL FUNC   76       HW_COMM_UnRegTimer
95   0x0002c670 0x0002c670 GLOBAL FUNC   116      HW_Time_GetVarFileInfo
96   0x00033f3c 0x00033f3c GLOBAL FUNC   12       HW_SSP_SetMbistTestRst
97   0x0008a3bc 0x0008a3bc GLOBAL FUNC   4        HW_WSEC_Fseek
98   0x0005c304 0x0005c304 GLOBAL FUNC   144      HW_MSG_GetCurThreadMid
99   0x000224b8 0x000224b8 GLOBAL FUNC   72       HW_OS_OpenDir
100  0x0004b4ac 0x0004b4ac GLOBAL FUNC   216      HW_SSL_Sha2File
103  0x0003c820 0x0003c820 GLOBAL FUNC   184      HW_OS_ExceInitDirectInfo
104  0x000216a4 0x000216a4 GLOBAL FUNC   104      HW_OS_MsgCtl
105  0x0005b658 0x0005b658 GLOBAL FUNC   184      HW_MSG_InitData
106  0x0002eb1c 0x0002eb1c GLOBAL FUNC   4        HW_OS_GenetlinkClose
107  0x0002f0f4 0x0002f0f4 GLOBAL FUNC   40       HW_OS_GetSaltStrForPbkdf2
